Geo. Code,Inc. Group Code,Country,VATR,VATGCR,VATPROD,THRESHOLD,VATYEAR,CITR,CITPROD,PITMINR,PITMAXR,PITMAXL,PITMINL,PITPROD,SSR,WEDGE,VATY,CITY,PITY,TAXY ,COST,FUNCTION,SARA,LTU,CUSTOMS,CERTIFICATION,TAXSTAFF,PAYERTO STAFF,HYDRO-CARBON,PCGDP,AG,IMPORTS,PCONS,
6,1,Tanzania,18.0,44.2,0.29,25595,1998,30.0, 0.07 ,14.0,30.0,0.31, 0.06 ,0.12,20.00,20.82, 5.26 , 2.08 , 3.18 , 17.27 ,N/A,1,1,1,1,1,0.05,161.0,0,1469 , 27.7 , 50.2 , 66.1 ,
1,2,Thailand,7.0,108.0,0.60,59418,1992,30.0, 0.20 ,10.0,37.0,14.06, 0.53 ,0.22,10.20,15.47, 4.20 , 6.10 , 8.10 , 17.07 ,0.60,1,0,1,0,1,0.30,585.6,0,9390 , 12.4 , 72.4 , 55.6 ,
6,1,The Gambia,15.0,N/A,N/A,5502,2009,35.0, N/A ,10.0,35.0,0.96, 0.15 ,N/A,18.50,20.02, N/A , N/A , N/A , 12.30 ,N/A,1,1,1,1,1,0.30,N/A,0,1811 , 18.9 , 57.3 , 89.5 ,
1,1,Timor-Leste,3.8,37.0,0.2,N/A,N/A,10.0, N/A ,10.0,10.0,0.00, 0.00 ,N/A,N/A,N/A, 0.90 , N/A , N/A , 1.40 ,N/A,1,0,1,0,0,0.06,N/A,1,9028 , N/A , N/A , 64.9 ,
6,1,Togo,18.0,51.4,0.46,60000,1995,27.0, 0.04 ,10.0,55.0,30.94, 0.56 ,0.05,20.50,26.07, 8.20 , 1.20 , 2.50 , 15.42 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,1048 , 31.9 , 58.4 , 88.7 ,
1,2,Tonga,15.0,72.8,0.64,52400,2009,25.0, 0.12 ,10.0,20.0,2.33, 0.58 ,0.33,N/A,N/A, 9.60 , 3.10 , 5.90 , 16.78 ,2.73,1,0,1,1,0,N/A,N/A,0,7344 , 19.5 , 60.6 , 87.9 ,
3,4,Trinidad and Tobago,15.0,53.4,0.27,57394,1990,25.0, 0.81 ,25.0,25.0,N/A, 0.48 ,0.81,10.82,22.94, 4.10 , 20.30 , 20.20 , 29.30 ,N/A,1,1,1,1,1,1.07,N/A,1,19738 , 0.7 , 39.4 , 51.2 ,
4,2,Tunisia,18.0,53.5,0.35,71378,1988,30.0, 0.16 ,15.0,35.0,3.81, 0.11 ,0.13,22.75,24.47, 6.31 , 4.68 , 4.44 , 20.98 ,N/A,1,0,1,1,0,N/A,N/A,0,9359 , 8.9 , 55.8 , 65.5 ,
2,3,Turkey,18.0,48.5,0.34,N/A,1985,20.0, 0.09 ,15.0,35.0,2.05, 0.00 ,0.10,37.00,37.00, 6.21 , 1.88 , 3.61 , 20.05 ,0.76,1,0,1,0,1,0.49,100.5,0,14543 , 9.1 , 32.6 , 71.2 ,
2,2,Turkmenistan,20.0,N/A,N/A,N/A,1992,20.0, N/A ,10.0,10.0,0.00, 0.00 ,N/A,23.00,23.00, N/A , N/A , N/A , 8.00 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,7842 , 14.5 , 45.3 , 48.6 ,
6,1,Uganda,18.0,26.2,0.20,20074,1996,30.0, 0.12 ,10.0,30.0,1.41, 0.45 ,0.07,15.00,19.47, 3.53 , 3.63 , 1.86 , 14.19 ,3.05,1,1,1,1,1,N/A,N/A,0,1400 , 23.4 , 34.5 , 74.9 ,
2,2,Ukraine,20.0,75.9,0.50,37942,1992,15.0, 0.28 ,15.0,15.0,0.00, 0.00 ,0.03,39.15,39.15, 9.99 , 4.20 , 0.47 , 18.49 ,N/A,1,0,1,0,1,1.32,49.4,0,7210 , 9.6 , 59.2 , 65.8 ,
4,4,United Arab Emirates,0.0,N/A,N/A,N/A,N/A,0.0, N/A ,0.0,0.0,0.00, 0.00 ,0.00,N/A,N/A, N/A , 0.10 , 0.10 , 0.64 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,47729 , 1.0 , 68.8 , 57.3 ,
7,4,United Kingdom,17.5,64.8,0.42,109062,2009,28.0, 0.10 ,20.0,50.0,6.59, 0.00 ,0.26,23.80,23.80, 7.30 , 2.80 , 12.90 , 29.20 ,0.83,1,1,1,1,0,1.02,496.9,0,36525 , 0.7 , 34.1 , 64.3 ,
8,4,United States,N/A,N/A,N/A,N/A,N/A,35.0, 0.07 ,10.0,35.0,8.04, 0.18 ,0.34,17.35,19.15, N/A , 2.60 , 11.80 , 18.40 ,0.62,0,1,1,0,0,0.26,3077.8,0,48328 , 1.2 , 17.8 , 71.6 ,
3,3,Uruguay,22.0,67.5,0.46,0,1968,25.0, 0.10 ,10.0,25.0,8.69, 0.61 ,0.12,30.50,36.59, 10.08 , 2.60 , 2.96 , 19.61 ,1.04,1,0,1,0,1,0.46,207.5,0,15112 , 10.1 , 27.3 , 67.9 ,
2,1,Uzbekistan,20.0,88.8,0.50,N/A,1992,9.0, 0.30 ,11.0,22.0,53.52, 0.05 ,0.11,29.00,29.59, 9.90 , 2.70 , 2.50 , 20.20 ,N/A,N/A,0,N/A,0,0,N/A,N/A,1,3273 , 18.9 , 27.5 , 55.7 ,
1,2,Vanuatu,12.5,98.6,0.62,41216,1998,0.0, N/A ,0.0,0.0,0.00, 0.00 ,N/A,8.00,8.00, 7.80 , N/A , N/A , 16.11 ,N/A,1,0,0,1,1,0.42,N/A,0,4812 , 19.7 , 52.1 , 63.3 ,
3,3,Venezuela,12.0,71.0,0.39,0,1993,34.0, 0.12 ,6.0,34.0,0.00, 0.00 ,N/A,18.25,18.25, 4.70 , 4.10 , N/A , 34.40 ,N/A,N/A,0,N/A,1,0,N/A,N/A,1,12868 , N/A , 19.7 , 55.2 ,
1,1,Vietnam,10.0,97.2,0.61,0,1999,25.0, 0.29 ,5.0,35.0,13.98, 0.00 ,0.25,28.50,28.50, 6.10 , 7.30 , 8.80 , 24.26 ,1.25,1,0,0,0,0,0.45,59.9,1,3359 , 22.0 , 91.2 , 62.7 ,
4,1,West Bank/ Gaza,14.5,N/A,N/A,0,N/A,15.0, N/A ,5.0,15.0,N/A, N/A ,N/A,N/A,N/A, N/A , N/A , N/A , N/A ,N/A,N/A,0,N/A,0,0,N/A,N/A,0,N/A, N/A , N/A , 60.9 ,
4,1,"Yemen, Rep.",5.0,102.3,0.54,234341,2005,35.0, 0.03 ,10.0,35.0,1.63, 0.07 ,0.08,19.00,19.73, 2.70 , 0.90 , 2.60 , 9.90 ,N/A,N/A,0,1,0,0,N/A,N/A,1,2307 , N/A , N/A , 52.8 ,
6,1,Zambia,16.0,46.3,0.21,41749,1995,35.0, 0.07 ,25.0,35.0,6.36, 1.24 ,0.14,10.00,10.00, 3.37 , 2.46 , 4.70 , 13.80 ,N/A,N/A,1,1,1,1,N/A,N/A,0,1615 , 19.5 , 37.0 , 45.4 ,
6,1,Zimbabwe,15.0,74.8,0.69,60000,2004,25.0, 0.12 ,20.0,35.0,0.09, 0.01 ,0.19,6.00,6.20, 10.30 , 3.10 , 6.20 , 28.10 ,7.40,1,1,0,1,1,0.13,16.3,0,530 , 15.7 , 87.8 , 91.8 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
